village_code_2011;village_name_2011;state_code_2011;district_code_2011;sub_district_code_2011;village_code_2001;village_name_2001;state_code_2001;district_code_2001;sub_district_code_2001
626635;Tiracol ;30;585;5609;100;Tiracol;30;1;1
626636;Querim ;30;585;5609;200;Querim;30;1;1
626637;Paliem ;30;585;5609;300;Paliem;30;1;1
626638;Corgao ;30;585;5609;500;Corgao;30;1;1
626639;Pernem ;30;585;5609;600;Pernem(Rural);30;1;1
626640;Poroscodem ;30;585;5609;700;Poroscodem;30;1;1
626641;Casnem ;30;585;5609;800;Casnem;30;1;1
626642;Varconda ;30;585;5609;900;Varconda;30;1;1
626643;Amberem ;30;585;5609;1000;Amberem;30;1;1
626644;Uguem ;30;585;5609;1100;Uguem;30;1;1
626645;Tamboxem ;30;585;5609;1200;Tamboxem;30;1;1
626646;Torxem ;30;585;5609;1300;Torxem;30;1;1
626647;Mopa ;30;585;5609;1400;Mopa;30;1;1
626648;Chandel ;30;585;5609;1500;Chandel;30;1;1
626649;Alorna ;30;585;5609;1600;Alorna;30;1;1
626650;Ibrampur ;30;585;5609;1700;Ibrampur;30;1;1
626651;Cansarvornem ;30;585;5609;1800;Cansarvornem;30;1;1
626652;Ozorim ;30;585;5609;1900;Ozorim;30;1;1
626653;Dargalim ;30;585;5609;2000;Dargalim;30;1;1
626654;Virnora ;30;585;5609;2100;Virnora;30;1;1
626655;Tuem ;30;585;5609;2200;Tuem;30;1;1
626656;Chopdem ;30;585;5609;2500;Chopdem;30;1;1
626657;Agarvado ;30;585;5609;2600;Agarvado;30;1;1
626658;Arambol (CT);30;585;5609;400;Arambol;30;1;1
626659;Mandrem (CT);30;585;5609;2300;Mandrem;30;1;1
626660;Parcem (CT);30;585;5609;40102000;Parcem  (CT);30;1;1
626661;Morjim (CT);30;585;5609;2400;Morgim;30;1;1
626662;Oxel ;30;585;5610;2700;Oxel;30;1;2
626663;Camurlim ;30;585;5610;2800;Camurlim;30;1;2
626664;Revora ;30;585;5610;2900;Revora;30;1;2
626665;Nadora ;30;585;5610;3000;Nadora;30;1;2
626666;Pirna ;30;585;5610;3100;Pirna;30;1;2
626667;Moitem ;30;585;5610;3200;Moitem;30;1;2
626668;Assonora ;30;585;5610;3300;Assonora;30;1;2
626669;Sircaim ;30;585;5610;3400;Sircaim;30;1;2
626670;Tivim ;30;585;5610;3500;Tivim;30;1;2
626671;Marna ;30;585;5610;3600;Marna;30;1;2
626672;Assagao ;30;585;5610;3700;Assagao;30;1;2
626673;Arpora ;30;585;5610;3900;Arpora;30;1;2
626674;Nagoa ;30;585;5610;4000;Nagoa;30;1;2
626675;Parra ;30;585;5610;4100;Parra;30;1;2
626676;Verla ;30;585;5610;4200;Verla;30;1;2
626677;Canca ;30;585;5610;4300;Canca;30;1;2
626678;Bastora ;30;585;5610;4400;Bastora;30;1;2
626679;Paliem ;30;585;5610;4500;Paliem;30;1;2
626680;Punola ;30;585;5610;4600;Punola;30;1;2
626681;Ucassaim ;30;585;5610;4700;Ucassaim;30;1;2
626682;Nachinola ;30;585;5610;4900;Nachinola;30;1;2
626683;Corjuem ;30;585;5610;5000;Corjuem;30;1;2
626684;Ponolem ;30;585;5610;5100;Ponolem;30;1;2
626685;Calvim ;30;585;5610;5200;Calvim;30;1;2
626686;Olaulim ;30;585;5610;5300;Olaulim;30;1;2
626687;Pomburpa ;30;585;5610;5400;Pomburpa;30;1;2
626688;Sangolda ;30;585;5610;5500;Sangolda;30;1;2
626689;Marra ;30;585;5610;5700;Marra;30;1;2
626690;Siolim (CT);30;585;5610;40103000;Siolim  (CT);30;1;2
626691;Colvale (CT);30;585;5610;40104000;Colvale (CT);30;1;2
626692;Moira (CT);30;585;5610;4800;Moira;30;1;2
626693;Guirim (CT);30;585;5610;40106000;Guirim  (CT);30;1;2
626694;Anjuna (CT);30;585;5610;3800;Anjuna;30;1;2
