village_code_2011;village_name_2011;state_code_2011;district_code_2011;sub_district_code_2011;village_code_2001;village_name_2001;state_code_2001;district_code_2001;sub_district_code_2001
627057;Pavoor;32;588;5630;200;Pavoor;32;1;1
627058;Vorkady;32;588;5630;300;Vorkady;32;1;1
627059;Pathur;32;588;5630;400;Pathur;32;1;1
627060;Kodalamogaru;32;588;5630;500;Kodalamogaru;32;1;1
627061;Koliyoor;32;588;5630;600;Koliyoor;32;1;1
627062;Kaliyoor;32;588;5630;700;Kaliyoor;32;1;1
627063;Talikala;32;588;5630;800;Talikala;32;1;1
627064;Meenja;32;588;5630;900;Meenja;32;1;1
627065;Kadambar;32;588;5630;1000;Kadambar;32;1;1
627066;Moodambail;32;588;5630;1100;Moodambail;32;1;1
627067;Kuloor;32;588;5630;1200;Kuloor;32;1;1
627068;Majibail;32;588;5630;1300;Majibail;32;1;1
627069;Badaje;32;588;5630;1400;Badaje;32;1;1
627070;Mulinja;32;588;5630;1600;Mulinja;32;1;1
627071;Kodibail;32;588;5630;1700;Kodibail;32;1;1
627072;Ichilangod;32;588;5630;2000;Ichilangod;32;1;1
627073;Heroor;32;588;5630;2100;Heroor;32;1;1
627074;Kubanoor;32;588;5630;2200;Kubanoor;32;1;1
627075;Bekoor;32;588;5630;2300;Bekoor;32;1;1
627076;Kayyar;32;588;5630;2400;Kayyar;32;1;1
627077;Kudalmarkala;32;588;5630;2500;Kudalmarkala;32;1;1
627078;Paivalike;32;588;5630;2600;Paivalike;32;1;1
627079;Chippar;32;588;5630;2700;Chippar;32;1;1
627080;Bayar;32;588;5630;2800;Bayar;32;1;1
627081;Badoor;32;588;5630;2900;Badoor;32;1;1
627082;Angadimogaru;32;588;5630;3000;Angadimogaru;32;1;1
627083;Mugu;32;588;5630;3100;Mugu;32;1;1
627084;Maire;32;588;5630;3200;Maire;32;1;1
627085;Enmakaje;32;588;5630;3300;Enmakaje;32;1;1
627086;Kattukukke;32;588;5630;3400;Kattukukke;32;1;1
627087;Padre;32;588;5630;3500;Padre;32;1;1
627088;Badiyadka;32;588;5630;3600;Badiyadka;32;1;1
627089;Nirchal;32;588;5630;3700;Nirchal;32;1;1
627090;Bela;32;588;5630;3800;Bela;32;1;1
627091;Puthige;32;588;5630;3900;Puthige;32;1;1
627092;Edanad;32;588;5630;4000;Edanad;32;1;1
627093;Kannur;32;588;5630;4100;Kannur;32;1;1
627094;Kidoor;32;588;5630;4200;Kidoor;32;1;1
627095;Ujarulvar;32;588;5630;4300;Ujarulvar;32;1;1
627096;Bombrana;32;588;5630;4400;Bombrana;32;1;1
627097;Arikady;32;588;5630;4500;Arikady;32;1;1
627098;Ichilampady;32;588;5630;4600;Ichilampady;32;1;1
627099;Patla;32;588;5630;5200;Patla;32;1;1
627100;Kalnad;32;588;5630;5300;Kalnad;32;1;1
627101;Perumbala;32;588;5630;5500;Perumbala;32;1;1
627102;Thekkil;32;588;5630;5600;Thekkil;32;1;1
627103;Muttathody;32;588;5630;5700;Muttathody;32;1;1
627104;Pady;32;588;5630;5900;Pady;32;1;1
627105;Nekraje;32;588;5630;6000;Nekraje;32;1;1
627106;Ubrangala;32;588;5630;6100;Ubrangala;32;1;1
627107;Kumbadaje;32;588;5630;6200;Kumbadaje;32;1;1
627108;Nettanige;32;588;5630;6300;Nettanige;32;1;1
627109;Bellur;32;588;5630;6400;Bellur;32;1;1
627110;Adhur;32;588;5630;6500;Adhur;32;1;1
627111;Karadka;32;588;5630;6600;Karadka;32;1;1
627112;Muliyar;32;588;5630;6700;Muliyar;32;1;1
627113;Kolathur;32;588;5630;6800;Kolathur;32;1;1
627114;Bedadka;32;588;5630;6900;Bedadka;32;1;1
627115;Munnad;32;588;5630;7000;Munnad;32;1;1
627116;Kuttikole;32;588;5630;7100;Kuttikole;32;1;1
627117;Karivedakam;32;588;5630;7200;Karivedakam;32;1;1
627118;Bandadka;32;588;5630;7300;Bandadka;32;1;1
627119;Adoor;32;588;5630;7400;Adoor;32;1;1
627120;Delampady;32;588;5630;7500;Delampady;32;1;1
627121;Kunjathur (CT);32;588;5630;100;Kunjathur;32;1;1
627122;Manjeshwar (CT);32;588;5630;40101000;Manjeshwar (CT);32;1;1
627123;Hosabettu (CT);32;588;5630;40102000;Hosabettu (CT);32;1;1
627124;Bangra Manjeshwar (CT);32;588;5630;40103000;Bangramanjeshwar (CT);32;1;1
627125;Uppala (CT);32;588;5630;1500;Uppala;32;1;1
627126;Mangalpady (CT);32;588;5630;1800;Mangalpady;32;1;1
627127;Shiriya (CT);32;588;5630;1900;Shiriya;32;1;1
627128;Koipady (CT);32;588;5630;4700;Koipady;32;1;1
627129;Mogral (CT);32;588;5630;4800;Mogral;32;1;1
627130;Puthur (CT);32;588;5630;4900;Puthur;32;1;1
