village_code_2011;village_name_2011;state_code_2011;district_code_2011;sub_district_code_2011;village_code_2001;village_name_2001;state_code_2001;district_code_2001;sub_district_code_2001
597114;Hadnal;29;555;5433;100;Hadnal;29;1;1
597115;Sulagaon;29;555;5433;200;Sulagaon;29;1;1
597116;Mattiwade;29;555;5433;300;Mattiwade;29;1;1
597117;Bhatnaganur;29;555;5433;400;Bhatnaganur;29;1;1
597118;Kurli;29;555;5433;500;Kurli;29;1;1
597119;Appachiwadi;29;555;5433;600;Appachiwadi;29;1;1
597120;Koganoli;29;555;5433;700;Koganoli;29;1;1
597121;Hanabarawadi;29;555;5433;800;Hanabarawadi;29;1;1
597122;Hanchinal (K.S.);29;555;5433;900;Hanchinal (K.S.);29;1;1
597123;Benadi;29;555;5433;1000;Benadi;29;1;1
597124;Bolewadi;29;555;5433;1100;Bolewadi;29;1;1
597125;Akkol;29;555;5433;1200;Akkol;29;1;1
597126;Padlihal;29;555;5433;1300;Padlihal;29;1;1
597127;Lakhanapur;29;555;5433;1400;Lakhanapur;29;1;1
597128;Jatrat;29;555;5433;1500;Jatrat;29;1;1
597129;Adi;29;555;5433;1600;Adi;29;1;1
597130;Bhivashi;29;555;5433;1700;Bhivashi;29;1;1
597131;Naganur;29;555;5433;1800;Naganur;29;1;1
597132;Yamagarni;29;555;5433;1900;Yamagarni;29;1;1
597133;Soundalga;29;555;5433;2000;Soundalga;29;1;1
597134;Budihal;29;555;5433;2100;Budihal;29;1;1
597135;Kodni;29;555;5433;2200;Kodni;29;1;1
597136;Gayakanawadi;29;555;5433;2300;Gayakanawadi;29;1;1
597137;Shirguppi;29;555;5433;2400;Shirguppi;29;1;1
597138;Pangeri (B);29;555;5433;2500;Pangeri (B);29;1;1
597139;Budulmukh;29;555;5433;2600;Budulmukh;29;1;1
597140;Shendur;29;555;5433;2700;Shendur;29;1;1
597141;Gondikuppi;29;555;5433;2800;Gondikuppi;29;1;1
597142;Yarnal;29;555;5433;2900;Yarnal;29;1;1
597143;Nippani (Rural);29;555;5433;3000;Nippani (Rural);29;1;1
597144;Amalzari;29;555;5433;3100;Amalzari;29;1;1
597145;Gavan;29;555;5433;3200;Gavan;29;1;1
597146;Tavadi;29;555;5433;3300;Tavadi;29;1;1
597147;Manakapur;29;555;5433;3400;Manakapur;29;1;1
597148;Kasanal;29;555;5433;3500;Kasanal;29;1;1
597149;Donewadi;29;555;5433;3600;Donewadi;29;1;1
597150;Boragaon;29;555;5433;3700;Boragaon;29;1;1
597151;Boragaonwadi;29;555;5433;3800;Boragaonwadi;29;1;1
597152;Sadalaga (Rural);29;555;5433;3900;Sadalaga (Rural);29;1;1
597153;Janwad;29;555;5433;4000;Janwad;29;1;1
597154;Shiradwad;29;555;5433;4100;Shiradwad;29;1;1
597155;Karadaga;29;555;5433;4200;Karadaga;29;1;1
597156;Barwad;29;555;5433;4300;Barwad;29;1;1
597157;Mangur;29;555;5433;4400;Mangur;29;1;1
597158;Kunnur;29;555;5433;4500;Kunnur;29;1;1
597159;Gajabarwadi;29;555;5433;4600;Gajabarwadi;29;1;1
597160;Shivapurawadi;29;555;5433;4700;Shivapurawadi;29;1;1
597161;Bhoj;29;555;5433;4800;Bhoj;29;1;1
597162;Hunnaragi;29;555;5433;4900;Hunnaragi;29;1;1
597163;Sidnal;29;555;5433;5000;Sidnal;29;1;1
597164;Mamadapur (KL);29;555;5433;5100;Mamadapur (KL);29;1;1
597165;Bhimapurwadi;29;555;5433;5200;Bhimapurwadi;29;1;1
597166;Galatga;29;555;5433;5300;Galatga;29;1;1
597167;Dilalapurwadi;29;555;5433;5300;Dilalapurwadi;29;1;1
597168;Bedkihal;29;555;5433;5400;Bedkihal;29;1;1
597169;Shamanewadi;29;555;5433;5500;Shamanewadi;29;1;1
597170;Nej;29;555;5433;5700;Nej;29;1;1
597171;Nagaral;29;555;5433;5800;Nagaral;29;1;1
597172;Nanadiwadi;29;555;5433;5900;Nanadiwadi;29;1;1
597173;Nanadi;29;555;5433;6000;Nanadi;29;1;1
597174;Malikwad;29;555;5433;6100;Malikwad;29;1;1
597175;Examba;29;555;5433;6200;Examba;29;1;1
597176;Kallol;29;555;5433;6300;Kallol;29;1;1
597177;Yadyanawadi;29;555;5433;6400;Yadyanawadi;29;1;1
597178;Yadurwadi;29;555;5433;6500;Yadurwadi;29;1;1
597179;Chandur;29;555;5433;6600;Chandur;29;1;1
597180;Chandur - Tek;29;555;5433;6700;Chandur - Tek;29;1;1
597181;Yadur;29;555;5433;6800;Yadur;29;1;1
597182;Hosa Yedur;29;555;5433;6900;Hosa Yedur;29;1;1
597183;Ingali;29;555;5433;7000;Ingali;29;1;1
597184;Manjari;29;555;5433;7100;Manjari;29;1;1
597185;Manjariwadi;29;555;5433;7100;Manjariwadi;29;1;1
597186;Ankali;29;555;5433;7200;Ankali;29;1;1
597187;Shiddapurwadi;29;555;5433;7300;Shiddapurwadi;29;1;1
