village_code_2011,village_name_2011,state_code_2011,district_code_2011,sub_district_code_2011,village_code_2001,village_name_2001,state_code_2001,district_code_2001,sub_district_code_2001,CEN_2001
537802,Chargaon,27,507,4046,1276600,Chargaon,27,11,3,275070404601276600
537748,Birsola,27,507,4046,1271200,Birsola,27,11,3,275070404601271200
537747,Kasa,27,507,4046,1271100,Kasa,27,11,3,275070404601271100
537749,Bhadyatola,27,507,4046,1271300,Bhadyatola,27,11,3,275070404601271300
537787,Satona,27,507,4046,1275100,Satona,27,11,3,275070404601275100
537746,Pujaritola,27,507,4046,1271000,Pujaritola,27,11,3,275070404601271000
537750,Jirutola,27,507,4046,1271400,Jirutola,27,11,3,275070404601271400
537791,Banathar,27,507,4046,1275500,Banathar,27,11,3,275070404601275500
537756,Brahmantola,27,507,4046,1272000,Brahmantola,27,11,3,275070404601272000
537786,Korani,27,507,4046,1275000,Korani,27,11,3,275070404601275000
537757,Tedhava,27,507,4046,1272100,Tedhava,27,11,3,275070404601272100
537758,Dangorli,27,507,4046,1272200,Dangorli,27,11,3,275070404601272200
537755,Marartola,27,507,4046,1271900,Marartola,27,11,3,275070404601271900
537789,Dhamangaon,27,507,4046,1275300,Dhamangaon,27,11,3,275070404601275300
537751,Serkatola,27,507,4046,1271500,Serkatola,27,11,3,275070404601271500
537753,Kati,27,507,4046,1271700,Kati,27,11,3,275070404601271700
537752,Bajartola,27,507,4046,1271600,Bajartola,27,11,3,275070404601271600
537788,Jagantola,27,507,4046,1275200,Jagantola,27,11,3,275070404601275200
537790,Changera,27,507,4046,1275400,Changera,27,11,3,275070404601275400
537792,Badegaon,27,507,4046,1275600,Badegaon,27,11,3,275070404601275600
537754,Kanhartola,27,507,4046,1271800,Kanhartola,27,11,3,275070404601271800
537762,Makadi,27,507,4046,1272600,Makadi,27,11,3,275070404601272600
537760,Dasgaon Kh.,27,507,4046,1272400,Dasgaon Kh.,27,11,3,275070404601272400
537761,Dasgaon Bk.,27,507,4046,1272500,Dasgaon Bk.,27,11,3,275070404601272500
537797,Kalar Tola,27,507,4046,1276100,Kalar Tola,27,11,3,275070404601276100
537763,Umari,27,507,4046,1272700,Umari,27,11,3,275070404601272700
537796,Bagholi,27,507,4046,1276000,Bagholi,27,11,3,275070404601276000
537794,Marartola,27,507,4046,1275800,Marartola,27,11,3,275070404601275800
537795,Rajegaon,27,507,4046,1275900,Rajegaon,27,11,3,275070404601275900
537824,Katang Tola,27,507,4046,1278800,Katang Tola,27,11,3,275070404601278800
537793,Kochewahi,27,507,4046,1275700,Kochewahi,27,11,3,275070404601275700
537798,Garra Bk.,27,507,4046,1276200,Garra Bk.,27,11,3,275070404601276200
537765,Nilaj,27,507,4046,1272900,Nilaj,27,11,3,275070404601272900
537819,Shirpur,27,507,4046,1278300,Shirpur,27,11,3,275070404601278300
537764,Shivani,27,507,4046,1272800,Shivani,27,11,3,275070404601272800
537823,Chhipiya,27,507,4046,1278700,Chhipiya,27,11,3,275070404601278700
537822,Chiramantola,27,507,4046,1278600,Chiramantola,27,11,3,275070404601278600
537800,Gondi Tola,27,507,4046,1276400,Gondi Tola,27,11,3,275070404601276400
537823,Chhipiya,27,507,4046,1278700,Chhipiya,27,11,3,275070404601278700
537801,Murpar,27,507,4046,1276500,Murpar,27,11,3,275070404601276500
537768,Birsi,27,507,4046,1273200,Birsi,27,11,3,275070404601273200
537821,Paraswada,27,507,4046,1278500,Paraswada,27,11,3,275070404601278500
537799,Garra Kh.,27,507,4046,1276300,Garra Kh.,27,11,3,275070404601276300
537769,Raipur,27,507,4046,1273300,Raipur,27,11,3,275070404601273300
537767,Pipartola,27,507,4046,1273100,Pipartola,27,11,3,275070404601273100
537893,Baniyatola,27,507,4047,1285500,Baniyatola,27,11,4,275070404701285500
537825,Zilmili,27,507,4046,1278900,Zilmili,27,11,3,275070404601278900
537820,Mogarra,27,507,4046,1278400,Mogarra,27,11,3,275070404601278400
537806,Ghiwari,27,507,4046,1277000,Ghiwari,27,11,3,275070404601277000
537807,Gondi Tola,27,507,4046,1277100,Gondi Tola,27,11,3,275070404601277100
537803,Rawanwadi,27,507,4046,1276700,Rawanwadi,27,11,3,275070404601276700
537804,Lodhi Tola,27,507,4046,1276800,Lodhi Tola,27,11,3,275070404601276800
537766,Girola,27,507,4046,1273000,Girola,27,11,3,275070404601273000
537894,Ghattemani,27,507,4047,1285600,Ghattemani,27,11,4,275070404701285600
537777,Lohara,27,507,4046,1274100,Lohara,27,11,3,275070404601274100
537831,Bhadutola,27,507,4046,1279500,Bhadutola,27,11,3,275070404601279500
537778,Kanhartola,27,507,4046,1274200,Kanhartola,27,11,3,275070404601274200
537779,Lahitola,27,507,4046,1274300,Lahitola,27,11,3,275070404601274300
537832,Arjuni,27,507,4046,1279600,Arjuni,27,11,3,275070404601279600
537805,Lodhi Tola,27,507,4046,1276900,Lodhi Tola,27,11,3,275070404601276900
537830,Khatiya,27,507,4046,1279400,Khatiya,27,11,3,275070404601279400
537829,Birsi,27,507,4046,1279300,Birsi,27,11,3,275070404601279300
537828,Kamtha,27,507,4046,1279200,Kamtha,27,11,3,275070404601279200
537812,Sawari,27,507,4046,1277600,Sawari,27,11,3,275070404601277600
537808,Nawa Tola,27,507,4046,1277200,Nawa Tola,27,11,3,275070404601277200
537851,Halbi Tola,27,507,4046,1281800,Halbi Tola,27,11,3,275070404601281800
537827,Panjara,27,507,4046,1279100,Panjara,27,11,3,275070404601279100
537809,Nawegaon,27,507,4046,1277300,Nawegaon,27,11,3,275070404601277300
537780,Pandharabodi,27,507,4046,1274400,Pandharabodi,27,11,3,275070404601274400
537782,Ratnara,27,507,4046,1274600,Ratnara,27,11,3,275070404601274600
537826,Lamba Tola,27,507,4046,1279000,Lamba Tola,27,11,3,275070404601279000
537814,Ambhora,27,507,4046,1277800,Ambhora,27,11,3,275070404601277800
537811,Chandanitola,27,507,4046,1277500,Chandanitola,27,11,3,275070404601277500
537896,Boda,27,507,4047,1285800,Boda,27,11,4,275070404701285800
537864,Kohka,27,507,4046,1283200,Kohka,27,11,3,275070404601283200
537815,Nagara,27,507,4046,1277900,Nagara,27,11,3,275070404601277900
537833,Batana,27,507,4046,1279700,Batana,27,11,3,275070404601279700
537834,Mundipar,27,507,4046,1279800,Mundipar,27,11,3,275070404601279800
537781,Jabbar Tola,27,507,4046,1274500,Jabbar Tola,27,11,3,275070404601274500
537810,Katang Tola,27,507,4046,1277400,Katang Tola,27,11,3,275070404601277400
537895,Girola,27,507,4047,1285700,Girola,27,11,4,275070404701285700
537816,Barbaspura,27,507,4046,1278000,Barbaspura,27,11,3,275070404601278000
537898,Bhosa,27,507,4047,1286000,Bhosa,27,11,4,275070404701286000
537783,Sai Tola,27,507,4046,1274700,Sai Tola,27,11,3,275070404601274700
537897,Karanji,27,507,4047,1285900,Karanji,27,11,4,275070404701285900
537784,Hiwara,27,507,4046,1274800,Hiwara,27,11,3,275070404601274800
537836,Navargaon kala,27,507,4046,1280000,Navargaon kala,27,11,3,275070404601280000
537888,Katangi Kala (CT),27,507,4046,1280400,Katangi Kala,27,11,3,275070404601280400
537866,Sejgaon,27,507,4046,1283400,Sejgaon,27,11,3,275070404601283400
537899,Takari,27,507,4047,1286100,Takari,27,11,4,275070404701286100
537867,Mundipar,27,507,4046,1283500,Mundipar,27,11,3,275070404601283500
537901,Manekasa,27,507,4047,1286300,Manekasa,27,11,4,275070404701286300
537835,Aasoli,27,507,4046,1279900,Aasoli,27,11,3,275070404601279900
537887,Kudwa (CT),27,507,4046,1280300,Kudwa,27,11,3,275070404601280300
537817,Temni,27,507,4046,1278100,Temni,27,11,3,275070404601278100
537785,Bhagwattola,27,507,4046,1274900,Bhagwattola,27,11,3,275070404601274900
537900,Tekari,27,507,4047,1286200,Tekari,27,11,4,275070404701286200
537919,Ramjitola,27,507,4047,1288100,Ramjitola,27,11,4,275070404701288100
537902,Mohgaon,27,507,4047,1286400,Mohgaon,27,11,4,275070404701286400
537837,Irri,27,507,4046,1280100,Irri,27,11,3,275070404601280100
537840,Dhakni,27,507,4046,1280600,Dhakni,27,11,3,275070404601280600
537906,Kalimati,27,507,4047,1286800,Kalimati,27,11,4,275070404701286800
537903,Katurli,27,507,4047,1286500,Katurli,27,11,4,275070404701286500
537838,Nawargaon Kh.,27,507,4046,1280200,Nawargaon Kh.,27,11,3,275070404601280200
537907,Banjaritola,27,507,4047,1286900,Banjaritola,27,11,4,275070404701286900
537868,Fattepur,27,507,4046,1283600,Fattepur,27,11,3,275070404601283600
530258,Jitapur,27,501,3992,523900,Jitapur,27,5,5,275010399200523900
530257,Mohabatpur,27,501,3992,523800,Mohabatpur,27,5,5,275010399200523800
530202,Matoda,27,501,3992,518300,Matoda,27,5,5,275010399200518300
530264,Nagoli,27,501,3992,524500,Nagoli,27,5,5,275010399200524500
530203,Kharbadi,27,501,3992,518400,Kharbadi,27,5,5,275010399200518400
530265,Nagthana,27,501,3992,524600,Nagthana,27,5,5,275010399200524600
530219,Hendaj,27,501,3992,520000,Hendaj,27,5,5,275010399200520000
530263,Rambhapur,27,501,3992,524400,Rambhapur,27,5,5,275010399200524400
530267,Unkhed,27,501,3992,524800,Unkhed,27,5,5,275010399200524800
530220,Palsoda,27,501,3992,520100,Palsoda,27,5,5,275010399200520100
530266,Kasarkhed,27,501,3992,524700,Kasarkhed,27,5,5,275010399200524700
530293,Sultanpur,27,501,3992,527400,Sultanpur,27,5,5,275010399200527400
530221,Sonala,27,501,3992,520200,Sonala,27,5,5,275010399200520200
530268,Gaulkhedi,27,501,3992,524900,Gaulkhedi,27,5,5,275010399200524900
530294,Hamidpur,27,501,3992,527500,Hamidpur,27,5,5,275010399200527500
530269,Aledatpur,27,501,3992,525000,Aledatpur,27,5,5,275010399200525000
530304,Dahatonda,27,501,3992,528500,Dahatonda,27,5,5,275010399200528500
530305,Muramba,27,501,3992,528600,Muramba,27,5,5,275010399200528600
530306,Dhanora Bk.,27,501,3992,528700,Dhanora Bk.,27,5,5,275010399200528700
530310,Gaulkhed,27,501,3992,529100,Gaulkhed,27,5,5,275010399200529100
